Altium Designer Pick and Place Locations,,,,,,,
D:\##ALTIUM DISIGNER\P1\Cosmic_Luna_Board_Alpha_V0.00\Project Outputs for Cosmic_Luna_Board_Alpha_V0.00\Pick Place for Luna_Board_PCB_D0.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       25/03/25,,,,,,,
Time:       07:09,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
R23,330 Ohms,Top,RES_0603_1608,101.6,67.945,90,RES 10K OHM 0.1% 1/16W 0603
PP2,pin_pad_4,BottomLayer,pinpad_4,146.05,66.04,360,
PP1,pin_pad_1,BottomLayer,pinpad_1,124.46,78.74,180,
D6,Yellow,Top,LED_0805_2012_YELLOW,101.6,63.5,90,LED YELLOW DIFFUSED 0805 SMD
Y2,8 MHz,Top,EPSON_TSX-3225,107.696,78.486,180,CRYSTAL 16.0000MHZ 16PF SMD
Y1,8 MHz,Top,EPSON_TSX-3225,116.967,66.842,270,
USB*1,USB-TYPE-C 16P,Top,USB_TYPE-C_24P_SMD,149.225,72.39,90,
UESD1,USBLC6-2SC6,Top,USBLC6-2SC6_Footprint,140.97,76.454,360,"The USBLC6-2SC6 and USBLC6-2P6 are
monolithic application specific devices dedicated
to ESD protection of high speed interfaces, such
as USB 2.0, Ethernet links and video lines.
The very low line capacitance secures a high level
of signal integrity without compromising in
protecting sensitive chips against the most
stringently characterized ESD strikes."
STM2,STM32F411CEU6,Top,STM32F411CEU6_Footprint,111.76,72.39,315,
STM1,STM32F103CBT6,Top,STM32F103CBT6_FOOTPRINT,125.73,72.39,45,128KB 2V~3.6V ARM-M3 20KB 72MHz FLASH 37 LQFP-48(7x7) Microcontrollers (MCU/MPU/SOC) ROHS
R22,0 Ohms,Top,RES_0603_1608,121.031,79.629,0,RES 0 OHM JUMPER 0603
R21,330 Ohms,Top,RES_0603_1608,138.176,79.502,0,RES 10K OHM 0.1% 1/16W 0603
R20,1.5k Ohms,Top,RES_0603_1608,141.986,79.502,360,RES 10K OHM 0.1% 1/16W 0603
R19,33k Ohms,Top,RES_0603_1608,141.351,69.469,360,RES 10K OHM 0.1% 1/16W 0603
R18,330 Ohms,Top,RES_0603_1608,147.5286,65.786,90,RES 10K OHM 0.1% 1/16W 0603
R17,330 Ohms,Top,RES_0603_1608,148.082,78.994,90,RES 10K OHM 0.1% 1/16W 0603
R16,100 Ohms,Top,RES_0603_1608,124.841,79.502,180,RES 10K OHM 0.1% 1/16W 0603
R15,5.1k Ohms,Top,RES_0603_1608,145.796,79.502,180,RES 10K OHM 0.1% 1/16W 0603
R14,10 kOhms,Top,RES_0603_1608,144.526,71.12,270,RES 10K OHM 0.1% 1/16W 0603
R13,5.1k Ohms,Top,RES_0603_1608,144.78,77.724,0,RES 10K OHM 0.1% 1/16W 0603
R12,10 kOhms,Top,RES_0603_1608,115.443,78.105,315,RES 10K OHM 0.1% 1/16W 0603
R11,0 Ohms,Top,RES_0603_1608,104.394,75.946,270,RES 0 OHM JUMPER 0603
R10,100 Ohms,Top,RES_0603_1608,131.826,74.803,135,RES 100 OHM 0.1% 1/16W 0603
R9,330 Ohms,Top,RES_0603_1608,117.475,75.565,45,RES 10K OHM 0.1% 1/16W 0603
R8,10 kOhms,Top,RES_0603_1608,104.561,70.358,135,RES 10K OHM 0.1% 1/16W 0603
R7,330 Ohms,Top,RES_0603_1608,101.6,76.835,270,RES 10K OHM 0.1% 1/16W 0603
R6,4.7k Ohms,Top,RES_0603_1608,125.222,65.786,360,RES 4.7k OHM 0.1% 1/16W 0603
R5,4.7k Ohms,Top,RES_0603_1608,128.143,66.548,45,RES 4.7K OHM 0.1% 1/16W 0603
R4,100k Ohms,Top,RES_0603_1608,121.666,77.851,0,RES 100K OHM 0.1% 1/16W 0603
R3,10 kOhms,Top,RES_0603_1608,118.11,79.375,180,RES 10K OHM 0.1% 1/16W 0603
R2,10 kOhms,Top,RES_0603_1608,133.985,76.2,90,RES 10K OHM 0.1% 1/16W 0603
R1,100k Ohms,Top,RES_0603_1608,135.89,74.93,90,RES 100K OHM 0.1% 1/16W 0603
Q1,500mA NPN BJT,Top,DIODES_SOT-23-3,141.732,72.39,270,TRANS NPN 60V 1A SOT23-3
IC1,AMS1117-3.3,Top,ST_SOT-223,136.271,68.58,90,IC REG LINEAR 3.3V 1.2A SOT223
HT1,2.54mm_TH_1x20_pin_header,BottomLayer,2.54mm_TH_1x20_pin_header,128.27,83.82,180,
HB1,2.54mm_TH_1x20_pin_header,BottomLayer,2.54mm_TH_1x20_pin_header,128.27,60.96,180,
FB1,Ferrite Bead,Top,FER_0603_1608,144.272,68.834,360,FERRITEBEAD SMD Z100MHZ=600OHM 7
D5,Red,Top,LED_0805_2012_RED,134.366,79.248,360,"0805 LED RED 640NM DOMINANT, 660"
D4,Yellow,Top,LED_0805_2012_YELLOW,150.876,65.532,360,LED YELLOW DIFFUSED 0805 SMD
D3,Red,Top,LED_0805_2012_RED,151.13,79.248,360,"0805 LED RED 640NM DOMINANT, 660"
D2,Red,Top,LED_0805_2012_RED,101.6,72.61,90,"0805 LED RED 640NM DOMINANT, 660"
D1,Green,Top,LED_0805_2012_GREEN,101.6,81.28,90,"0805 LED RED 570NM DOMINANT, 565"
CESD1,100nF,Top,CAP_0603_1608,144.659,75.184,270,CAP CER 0.1UF 100V X7R 0603
C22,2.2µF,Top,CAP_0603_1608,143.51,66.294,270,CAP CER 0.1UF 100V X7R 0603
C21,2.2µF,Top,CAP_0603_1608,145.288,66.294,270,CAP CER 0.1UF 100V X7R 0603
C20,100nF,Top,CAP_0603_1608,119.888,75.057,225,CAP CER 0.1UF 100V X7R 0603
C19,100nF,Top,CAP_0603_1608,131.191,69.4365,45,CAP CER 0.1UF 100V X7R 0603
C18,100nF,Top,CAP_0603_1608,122.047,67.564,315,CAP CER 0.1UF 100V X7R 0603
C17,100nF,Top,CAP_0603_1608,128.143,78.74,135,CAP CER 0.1UF 100V X7R 0603
C16,100nF,Top,CAP_0603_1608,108.077,68.834,315,CAP CER 0.1UF 100V X7R 0603
